return,risk
0.03189653615508885,0.3581299901030749
0.032643008159918094,0.34921432435415856
0.037139910510691314,0.3813307985539216
0.03740971211955671,0.3723442161104089
0.036810765396927056,0.357454367953699
0.036266268376354646,0.34707163627550586
0.03661549199743246,0.3465922819732563
0.03494489609398368,0.32865131718053897
0.03457002355549703,0.32402497225992644
0.03308537932858783,0.3098981244865369
0.03308537932858783,0.3098981244865369
0.03541983431381811,0.32833904159669985
0.03564306735640822,0.3289563263430482
0.03541345929994263,0.32647347513590347
0.03563699591462204,0.32832843079795493
0.0348085169215208,0.32065619446693083
0.0348085169215208,0.32065619446693083
0.035962185631201356,0.33065635966590795
0.03583679813216304,0.32927861373412537
0.03594096715840811,0.3301317147653966
0.0361013887966794,0.3314430639498323
0.03617651675827955,0.3319634854669206
0.036045901670775926,0.33058598637576425
0.03716939026462098,0.34060527918721234
0.03724105704373293,0.34088417416494143
0.037084477559023096,0.3391656212470833
0.03662483022976635,0.334784759062968
0.036709778960947924,0.335480985657234
0.03656615747825725,0.33407030657180337
0.0361191521021899,0.3299172016774355
0.0361191521021899,0.3299172016774355
0.036686927187575505,0.3349306060253759
0.03672915929894137,0.33526709943587335
0.03665622274180172,0.3345512490082618
0.036728593502119364,0.3351529468058907
0.03650032613863019,0.333027477036421
0.036533428719909895,0.333294016477936
0.0370960892791508,0.3383612358765481
0.037133270006670056,0.3385749052628988
0.037055344428447344,0.33775754746123693
0.03682304310290474,0.3355814708571046
0.03686359477087147,0.33589868516870475
0.03678899851654752,0.3351593161237877
0.03655998541213947,0.33304142735025566
0.036333799630008067,0.33097379772197555
0.03661811723490506,0.33350098312146526
0.03663979183722372,0.33366892364376843
0.036603652125008865,0.3333125909051107
0.03664038878465186,0.33362344154055246
0.036604245364688995,0.33327472931620405
0.03662600612769222,0.3334513850147063
0.036908508785398635,0.33597787415234637
0.03692262758314327,0.3360725848301352
0.036884731127164935,0.33569644357018524
0.03690474974257516,0.33584714083121786
